Operation,Status,FPS,Latency
zeros,❌,N/A,N/A
ones,❌,N/A,N/A
empty,❌,N/A,N/A
full,❌,N/A,N/A
eye,❌,N/A,N/A
arange,❌,N/A,N/A
linspace,❌,N/A,N/A
add,✅,8703.220,0.11ms
sub,✅,5154.639,0.19ms
mul,✅,14970.059,0.07ms
div,✅,16501.650,0.06ms
mod,❌,N/A,N/A
pow,❌,N/A,N/A
neg,✅,18050.541,0.06ms
eq,❌,N/A,N/A
ne,❌,N/A,N/A
lt,❌,N/A,N/A
le,❌,N/A,N/A
gt,❌,N/A,N/A
ge,❌,N/A,N/A
sin,✅,4716.981,0.21ms
cos,✅,4755.112,0.21ms
exp,✅,1319.784,0.76ms
log,✅,4291.846,0.23ms
sqrt,✅,4856.726,0.21ms
abs,✅,8285.004,0.12ms
relu,✅,18867.924,0.05ms
sigmoid,✅,3269.042,0.31ms
